Author,ISBN,Publisher,Title
Dhamdhere,9.78007E+12,McGraw-Hill Europe,Systems Program & Operation
Dhamdhere,9.78007E+12,McGraw-Hill Europe,Systems Program & Operation
Harris,9.78007E+12,Mc Graw Hill India,Operating Systems (SIE)
Harris,9.78007E+12,Mc Graw Hill India,Operating Systems (SIE)
"Andrew S. Tanenbaum
Maarten van Steen",9.78818E+12,,Distributed Systems
"COULOURIS, G., DOLLIMORE, J.",9.78813E+12,PEARSON INDIA,Distributed Systems
CROWLEY,9.78007E+12,MC GRAW HILL INDIA,Operating Systems
SINGHAL,9.78007E+12,MC GRAW HILL INDIA,Advanced Concepts in Operating Systmes
Dhamdhere,9.78007E+12,McGraw-Hill Europe,Systems Program & Operation
Unknown,9.78812E+12,Prentice Hall of India Private Ltd,Operating Syestems Design And Implementations
Tanenbaum,9.78818E+12,Dorling Kindersley Pvt Ltd,Distributed Operating Systems
"Sinha, Pradeep K.",9.78812E+12,Prentice Hall of India,Distributed Operating Systems
GALVIN,9.78813E+12,CBS PUB & DIST.(RS),Operating System Concepts
"Tanenbaum, Andrew S.",9.78812E+12,Prentice Hall of India,Modern Operating Systems 2nd Ed
Harris,9.78007E+12,The Mcgraw-hill Company,Schaum S Outlines Operating Systems
"Abraham Silberschatz, Galvin, Gagne, peter",9.78813E+12,WILEY INDIA,Operating System Concepts
Silberschatz,9.78813E+12,Wiley India,Operating System Concepts
Silberschatz,9.78813E+12,Wiley India,Operating System Concepts
"Sinha, Pradeep K.",9.78812E+12,Prentice Hall of India,Distributed Operating Systems
M. Joseph,9.78813E+12,Laxmi Publications,System Software
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
"Alpaydin, Ethem",9.78812E+12,PHI,Introduction To Machine Learning 3Rd Edition
Mitchell,9.78126E+12,MC GRAW HILL INDIA,"MACHINE LEARNING, 1ST EDN"
BECK,9.78818E+12,PEARSON INDIA,System Software
BECK,9.78818E+12,PEARSON INDIA,System Software
BECK,9.78818E+12,PEARSON INDIA,System Software
BECK,9.78818E+12,PEARSON INDIA,System Software
M. Joseph,9.78813E+12,Laxmi Publications,System Software
M. Joseph,9.78813E+12,Laxmi Publications,System Software
M. Joseph,9.78813E+12,Laxmi Publications,System Software
M. Joseph,9.78813E+12,Laxmi Publications,System Software
M. Joseph,9.78813E+12,Laxmi Publications,System Software
Russell,9.78933E+12,Pearson India,Artificial Intelligence A Modern Approach
Russell,9.78933E+12,Pearson India,Artificial Intelligence A Modern Approach
Bratko,9.78813E+12,PEARSON EDUCATION,Prolog
"Patrick, H. Winston, Berthold K. Horn",9.78818E+12,Pearson,a
"Patrick, H. Winston, Berthold K. Horn",9.78818E+12,Pearson,a
"Russell, Peter Norvig, Stuart Russell",9.78818E+12,Dorling Kindersley Pvt Ltd,Artificial Intelligence
Bratko,9.78813E+12,PEARSON EDUCATION,Prolog
Eberhart Russell Et.Al,9.78813E+12,Elsevier India,Computational Intelligence
Kevin Knight & Elaine Rich,9.78007E+12,Mc Graw Hill India,Artificial Intelligence
"Russell, Peter Norvig, Stuart Russell",9.78818E+12,Dorling Kindersley Pvt Ltd,Artificial Intelligence
PATTERSON,9.78812E+12,PEARSON INDIA,Introduction to Artificial Intelligence
"Sharbani Bhattacharya, Bhattacharya Sharbani",9.78813E+12,Laxmi Publications,Artificial Intelligence
"Russell, Peter Norvig, Stuart Russell",9.78818E+12,Dorling Kindersley Pvt Ltd,Artificial Intelligence
LUGER,9.78813E+12,PEARSON INDIA,Artificial Intelligence
LUGER,9.78813E+12,PEARSON INDIA,Artificial Intelligence
Patrick Henry Winston,9.78818E+12,,Lisp
Patrick Henry Winston,9.78818E+12,,Lisp
"Nilsson, Nils J.",9.78818E+12,Morgan Kaufmann,Artificial Intelligence
Giarratano/ Riley,9.78813E+12,Cengage,Expert Systems
Sumitabha Das,9.78007E+12,Mcgraw Hill Education (India) Private Limited,Unix Concepts and Applications
Unknown,9.78818E+12,Pearson,Design of the Unix Operating System
Unknown,9.78818E+12,Pearson,Design of the Unix Operating System
"W. Richard Stevens
Bill Fenner
Andrew M. Rudoff
Richard W. Stevens",9.78818E+12,Addison Wesley Longman Singapore Pte. Ltd.,Unix Network Programming
"W. Richard Stevens
Bill Fenner
Andrew M. Rudoff
Richard W. Stevens",9.78818E+12,Addison Wesley Longman Singapore Pte. Ltd.,Unix Network Programming
Sumitabha Das,9.78007E+12,Tata Mcgraw Hill,Unix
"W. Richard Stevens
Bill Fenner
Andrew M. Rudoff
Richard W. Stevens",9.78818E+12,Addison Wesley Longman Singapore Pte. Ltd.,Unix Network Programming
"W. Richard Stevens
Bill Fenner
Andrew M. Rudoff
Richard W. Stevens",9.78818E+12,Addison Wesley Longman Singapore Pte. Ltd.,Unix Network Programming
Bach,9.78818E+12,,The Design Of The Unix Operating System
"Chan, Terrence",9.78812E+12,Prentice Hall of India,Unix System Programming Using C++
Stevens,9.78812E+12,PRENTICE HALL,Unix Network Programming
Bach,9.78818E+12,,The Design Of The Unix Operating System
